ProjectName,TeamName,MeasureName,SeriesName,TimePeriod,Team Active Status,Value1,Value2,AbbrevName,Volume,Type,Improvement Cohort,,,original in Extranet,abbrev,Pre work Volume,Type,Improvement Cohort
Joint Replacement Learning Community,Adventist Medical Center,30-day all cause Readmission Count THA,Adventist Medical Center,1/1/2014 0:00,TRUE,1,,Adventist,314,Community,Managing Across Cycle of Care,,,Adventist Medical Center,Adventist,314,Community,Managing Across Cycle of Care
Joint Replacement Learning Community,Adventist Medical Center,30-day all cause Readmission Count THA,Adventist Medical Center,2/1/2014 0:00,TRUE,1,,Adventist,314,Community,Managing Across Cycle of Care,,,Advocate Health Care,Advocate,4599,Community,Early Mobilization and Pain Management 
Joint Replacement Learning Community,Adventist Medical Center,30-day all cause Readmission Count THA,Adventist Medical Center,3/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,Central Dupage Hospital - Cadence Health,Dupage Hospital,1699,Community,No project charter
Joint Replacement Learning Community,Adventist Medical Center,30-day all cause Readmission Count TKA,Adventist Medical Center,1/1/2014 0:00,TRUE,1,,Adventist,314,Community,Managing Across Cycle of Care,,,Connecticut Joint Replacement Institute,CJRI,2132,Academic,Managing Across Cycle of Care
Joint Replacement Learning Community,Adventist Medical Center,30-day all cause Readmission Count TKA,Adventist Medical Center,2/1/2014 0:00,TRUE,1,,Adventist,314,Community,Managing Across Cycle of Care,,,Delnor Hospital - Cadence Health,Delnor Hospital,352,Community,No project charter
Joint Replacement Learning Community,Adventist Medical Center,30-day all cause Readmission Count TKA,Adventist Medical Center,3/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,EvergreenHealth,Evergreen,680,Community,Managing Across Cycle of Care
Joint Replacement Learning Community,Adventist Medical Center,30-day all cause Readmission Rate THA,Adventist Medical Center,1/1/2014 0:00,TRUE,2.4,,Adventist,314,Community,Managing Across Cycle of Care,,,Franciscan St. Francis Health - Mooresville,Fr St Francis Health,1385,Community,Early Mobilization and Pain Management 
Joint Replacement Learning Community,Adventist Medical Center,30-day all cause Readmission Rate THA,Adventist Medical Center,2/1/2014 0:00,TRUE,1.4,,Adventist,314,Community,Managing Across Cycle of Care,,,Gundersen Lutheran Health System ,Gundersen,645,Community,Early Mobilization and Pain Management 
Joint Replacement Learning Community,Adventist Medical Center,30-day all cause Readmission Rate THA,Adventist Medical Center,3/1/2014 0:00,TRUE,1.3,,Adventist,314,Community,Managing Across Cycle of Care,,,Hackensack University Medical Center,Hackensack,1304,Academic,Managing Across Cycle of Care
Joint Replacement Learning Community,Adventist Medical Center,30-day all cause Readmission Rate TKA,Adventist Medical Center,1/1/2014 0:00,TRUE,0.87,,Adventist,314,Community,Managing Across Cycle of Care,,,Henry Ford West Bloomfield Hospital,Henry Ford WBH,602,Other,Managing Across Cycle of Care
Joint Replacement Learning Community,Adventist Medical Center,30-day all cause Readmission Rate TKA,Adventist Medical Center,2/1/2014 0:00,TRUE,1.87,,Adventist,314,Community,Managing Across Cycle of Care,,,Hoag Orthopedic Institute,Hoag OI,2522,Other,Managing Across Cycle of Care
Joint Replacement Learning Community,Adventist Medical Center,30-day all cause Readmission Rate TKA,Adventist Medical Center,3/1/2014 0:00,TRUE,1.96,,Adventist,314,Community,Managing Across Cycle of Care,,,Hospital Alvorada,Hospital Alvorada,262,Community,Early Mobilization and Pain Management 
Joint Replacement Learning Community,Adventist Medical Center,Average LOS THA,Adventist Medical Center,1/1/2014 0:00,TRUE,2,,Adventist,314,Community,Managing Across Cycle of Care,,,Hvidovre Hospital,Hvidovre Hospital,1200,Academic,No project charter
Joint Replacement Learning Community,Adventist Medical Center,Average LOS THA,Adventist Medical Center,2/1/2014 0:00,TRUE,2.5,,Adventist,314,Community,Managing Across Cycle of Care,,,Jewish General Hospital,Jewish General Hospital,743,Academic,Managing Across Cycle of Care
Joint Replacement Learning Community,Adventist Medical Center,Average LOS THA,Adventist Medical Center,3/1/2014 0:00,TRUE,2.1,,Adventist,314,Community,Managing Across Cycle of Care,,,Johns Hopkins Bayview Medical Center,Johns Hopkins Bayview,596,Academic,OR Processes
Joint Replacement Learning Community,Adventist Medical Center,Average LOS THA,Adventist Medical Center,4/1/2014 0:00,TRUE,1.9,,Adventist,314,Community,Managing Across Cycle of Care,,,Kadlec Regional Medical Center ,Kadlec RMC,269,Community,Early Mobilization and Pain Management 
