ProjectName,TeamName,MeasureName,SeriesName,TimePeriod,Team Active Status,Value1,Value2
HMC Campaign - Best Care Always,Al Khor Hospital,CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,Al Khor Hospital,1/1/2013 12:00:00 AM,False,="0",11
HMC Campaign - Best Care Always,Al Khor Hospital,CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,Al Khor Hospital,10/1/2013 12:00:00 AM,False,="0",15
HMC Campaign - Best Care Always,Al Khor Hospital,CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,Al Khor Hospital,11/1/2013 12:00:00 AM,False,="0",8
HMC Campaign - Best Care Always,Al Khor Hospital,CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,Al Khor Hospital,12/1/2013 12:00:00 AM,False,="0",13
HMC Campaign - Best Care Always,Al Khor Hospital,CCO01 - VAP Rate,Al Khor Hospital,1/1/2013 12:00:00 AM,False,="0",20
HMC Campaign - Best Care Always,Al Khor Hospital,CCO01 - VAP Rate,Al Khor Hospital,2/1/2013 12:00:00 AM,False,="0",40
HMC Campaign - Best Care Always,Al Khor Hospital,CCO01 - VAP Rate,Al Khor Hospital,3/1/2013 12:00:00 AM,False,="0",47
HMC Campaign - Best Care Always,Al Khor Hospital,CCO01 - VAP Rate,Al Khor Hospital,4/1/2013 12:00:00 AM,False,="0",56
HMC Campaign - Best Care Always,Al Khor Hospital,CCO01 - VAP Rate,Al Khor Hospital,5/1/2013 12:00:00 AM,False,="0",77
HMC Campaign - Best Care Always,Al Khor Hospital,CCO01 - VAP Rate,Al Khor Hospital,6/1/2013 12:00:00 AM,False,="0",41
HMC Campaign - Best Care Always,Al Khor Hospital,CCO01 - VAP Rate,Al Khor Hospital,7/1/2013 12:00:00 AM,False,="0",65
HMC Campaign - Best Care Always,Al Khor Hospital,CCO01 - VAP Rate,Al Khor Hospital,8/1/2013 12:00:00 AM,False,="0",70
HMC Campaign - Best Care Always,Al Khor Hospital,CCO01 - VAP Rate,Al Khor Hospital,9/1/2013 12:00:00 AM,False,="0",69
HMC Campaign - Best Care Always,Al Khor Hospital,CCO01 - VAP Rate,Al Khor Hospital,10/1/2013 12:00:00 AM,False,="0",63
HMC Campaign - Best Care Always,Al Khor Hospital,CCO01 - VAP Rate,Al Khor Hospital,11/1/2013 12:00:00 AM,False,="0",69
HMC Campaign - Best Care Always,Al Khor Hospital,CCO01 - VAP Rate,Al Khor Hospital,12/1/2013 12:00:00 AM,False,="0",72
HMC Campaign - Best Care Always,Al Khor Hospital,CCO01 - VAP Rate,Al Khor Hospital,1/1/2014 12:00:00 AM,False,="0",68
HMC Campaign - Best Care Always,Al Khor Hospital,CCO04 - Central Line Bloodstream Infection Rate (CLABSI),Al Khor Hospital,1/1/2013 12:00:00 AM,False,="0",29
HMC Campaign - Best Care Always,Al Khor Hospital,CCO04 - Central Line Bloodstream Infection Rate (CLABSI),Al Khor Hospital,2/1/2013 12:00:00 AM,False,="0",38
HMC Campaign - Best Care Always,Al Khor Hospital,CCO04 - Central Line Bloodstream Infection Rate (CLABSI),Al Khor Hospital,3/1/2013 12:00:00 AM,False,="0",30
HMC Campaign - Best Care Always,Al Khor Hospital,CCO04 - Central Line Bloodstream Infection Rate (CLABSI),Al Khor Hospital,4/1/2013 12:00:00 AM,False,="0",71
HMC Campaign - Best Care Always,Al Khor Hospital,CCO04 - Central Line Bloodstream Infection Rate (CLABSI),Al Khor Hospital,5/1/2013 12:00:00 AM,False,="0",43
HMC Campaign - Best Care Always,Al Khor Hospital,CCO04 - Central Line Bloodstream Infection Rate (CLABSI),Al Khor Hospital,6/1/2013 12:00:00 AM,False,="0",46
HMC Campaign - Best Care Always,Al Khor Hospital,CCO04 - Central Line Bloodstream Infection Rate (CLABSI),Al Khor Hospital,7/1/2013 12:00:00 AM,False,="0",66
HMC Campaign - Best Care Always,Al Khor Hospital,CCO04 - Central Line Bloodstream Infection Rate (CLABSI),Al Khor Hospital,8/1/2013 12:00:00 AM,False,1,81
HMC Campaign - Best Care Always,Al Khor Hospital,CCO04 - Central Line Bloodstream Infection Rate (CLABSI),Al Khor Hospital,9/1/2013 12:00:00 AM,False,="0",50
HMC Campaign - Best Care Always,Al Khor Hospital,CCO04 - Central Line Bloodstream Infection Rate (CLABSI),Al Khor Hospital,10/1/2013 12:00:00 AM,False,="0",57
HMC Campaign - Best Care Always,Al Khor Hospital,CCO04 - Central Line Bloodstream Infection Rate (CLABSI),Al Khor Hospital,11/1/2013 12:00:00 AM,False,="0",100
HMC Campaign - Best Care Always,Al Khor Hospital,CCO04 - Central Line Bloodstream Infection Rate (CLABSI),Al Khor Hospital,12/1/2013 12:00:00 AM,False,="0",90
HMC Campaign - Best Care Always,Al Khor Hospital,CCO04 - Central Line Bloodstream Infection Rate (CLABSI),Al Khor Hospital,1/1/2014 12:00:00 AM,False,="0",82
HMC Campaign - Best Care Always,Al Khor Hospital,CCO05 - Days Between a Central Line Bloodstream Infection,Al Khor Hospital,8/7/2013 12:00:00 AM,False,6.35114304E+17
HMC Campaign - Best Care Always,Al Khor Hospital,CCO06 - Incidence (rate) of inpatient hospital-onset Clostridium difficile Infection (CDI),Al Khor Hospital,1/1/2013 12:00:00 AM,False,1,157
HMC Campaign - Best Care Always,Al Khor Hospital,CCO06 - Incidence (rate) of inpatient hospital-onset Clostridium difficile Infection (CDI),Al Khor Hospital,2/1/2013 12:00:00 AM,False,="0",203
HMC Campaign - Best Care Always,Al Khor Hospital,CCO06 - Incidence (rate) of inpatient hospital-onset Clostridium difficile Infection (CDI),Al Khor Hospital,3/1/2013 12:00:00 AM,False,1,215
HMC Campaign - Best Care Always,Al Khor Hospital,CCO06 - Incidence (rate) of inpatient hospital-onset Clostridium difficile Infection (CDI),Al Khor Hospital,4/1/2013 12:00:00 AM,False,1,225
HMC Campaign - Best Care Always,Al Khor Hospital,CCO06 - Incidence (rate) of inpatient hospital-onset Clostridium difficile Infection (CDI),Al Khor Hospital,5/1/2013 12:00:00 AM,False,="0",246
HMC Campaign - Best Care Always,Al Khor Hospital,CCO06 - Incidence (rate) of inpatient hospital-onset Clostridium difficile Infection (CDI),Al Khor Hospital,6/1/2013 12:00:00 AM,False,1,184
HMC Campaign - Best Care Always,Al Khor Hospital,CCO06 - Incidence (rate) of inpatient hospital-onset Clostridium difficile Infection (CDI),Al Khor Hospital,7/1/2013 12:00:00 AM,False,1,202
HMC Campaign - Best Care Always,Al Khor Hospital,CCO06 - Incidence (rate) of inpatient hospital-onset Clostridium difficile Infection (CDI),Al Khor Hospital,8/1/2013 12:00:00 AM,False,="0",225
HMC Campaign - Best Care Always,Al Khor Hospital,CCO06 - Incidence (rate) of inpatient hospital-onset Clostridium difficile Infection (CDI),Al Khor Hospital,9/1/2013 12:00:00 AM,False,1,213
HMC Campaign - Best Care Always,Al Khor Hospital,CCO06 - Incidence (rate) of inpatient hospital-onset Clostridium difficile Infection (CDI),Al Khor Hospital,10/1/2013 12:00:00 AM,False,1,221
HMC Campaign - Best Care Always,Al Khor Hospital,CCO06 - Incidence (rate) of inpatient hospital-onset Clostridium difficile Infection (CDI),Al Khor Hospital,11/1/2013 12:00:00 AM,False,="0",245
HMC Campaign - Best Care Always,Al Khor Hospital,CCO06 - Incidence (rate) of inpatient hospital-onset Clostridium difficile Infection (CDI),Al Khor Hospital,12/1/2013 12:00:00 AM,False,="0",235
HMC Campaign - Best Care Always,Al Khor Hospital,CCO06 - Incidence (rate) of inpatient hospital-onset Clostridium difficile Infection (CDI),Al Khor Hospital,1/1/2014 12:00:00 AM,False,="0",234
HMC Campaign - Best Care Always,Al Khor Hospital,CCO07 - Days between a C. difficile associated disease occurrence,Al Khor Hospital,1/10/2013 12:00:00 AM,False,6.34933728E+17
HMC Campaign - Best Care Always,Al Khor Hospital,CCO07 - Days between a C. difficile associated disease occurrence,Al Khor Hospital,3/8/2013 12:00:00 AM,False,6.34982976E+17
HMC Campaign - Best Care Always,Al Khor Hospital,CCO07 - Days between a C. difficile associated disease occurrence,Al Khor Hospital,4/8/2013 12:00:00 AM,False,6.3500976E+17
HMC Campaign - Best Care Always,Al Khor Hospital,CCO07 - Days between a C. difficile associated disease occurrence,Al Khor Hospital,6/9/2013 12:00:00 AM,False,6.35063328E+17
HMC Campaign - Best Care Always,Al Khor Hospital,CCO07 - Days between a C. difficile associated disease occurrence,Al Khor Hospital,7/5/2013 12:00:00 AM,False,6.35085792E+17
HMC Campaign - Best Care Always,Al Khor Hospital,CCO07 - Days between a C. difficile associated disease occurrence,Al Khor Hospital,9/6/2013 12:00:00 AM,False,6.35140224E+17
HMC Campaign - Best Care Always,Al Khor Hospital,CCO07 - Days between a C. difficile associated disease occurrence,Al Khor Hospital,10/17/2013 12:00:00 AM,False,6.35175648E+17
HMC Campaign - Best Care Always,Al Khor Hospital,CCO10 - Urinary catheter-associated symptomatic urinary tract infections rate,Al Khor Hospital,1/1/2013 12:00:00 AM,False,="0",30
HMC Campaign - Best Care Always,Al Khor Hospital,CCO10 - Urinary catheter-associated symptomatic urinary tract infections rate,Al Khor Hospital,2/1/2013 12:00:00 AM,False,="0",96
HMC Campaign - Best Care Always,Al Khor Hospital,CCO10 - Urinary catheter-associated symptomatic urinary tract infections rate,Al Khor Hospital,3/1/2013 12:00:00 AM,False,1,75
HMC Campaign - Best Care Always,Al Khor Hospital,CCO10 - Urinary catheter-associated symptomatic urinary tract infections rate,Al Khor Hospital,4/1/2013 12:00:00 AM,False,="0",143
HMC Campaign - Best Care Always,Al Khor Hospital,CCO10 - Urinary catheter-associated symptomatic urinary tract infections rate,Al Khor Hospital,5/1/2013 12:00:00 AM,False,="0",67
HMC Campaign - Best Care Always,Al Khor Hospital,CCO10 - Urinary catheter-associated symptomatic urinary tract infections rate,Al Khor Hospital,6/1/2013 12:00:00 AM,False,1,99
HMC Campaign - Best Care Always,Al Khor Hospital,CCO10 - Urinary catheter-associated symptomatic urinary tract infections rate,Al Khor Hospital,7/1/2013 12:00:00 AM,False,="0",64
HMC Campaign - Best Care Always,Al Khor Hospital,CCO10 - Urinary catheter-associated symptomatic urinary tract infections rate,Al Khor Hospital,8/1/2013 12:00:00 AM,False,1,93
HMC Campaign - Best Care Always,Al Khor Hospital,CCO10 - Urinary catheter-associated symptomatic urinary tract infections rate,Al Khor Hospital,9/1/2013 12:00:00 AM,False,="0",105
HMC Campaign - Best Care Always,Al Khor Hospital,CCO10 - Urinary catheter-associated symptomatic urinary tract infections rate,Al Khor Hospital,10/1/2013 12:00:00 AM,False,="0",97
HMC Campaign - Best Care Always,Al Khor Hospital,CCO10 - Urinary catheter-associated symptomatic urinary tract infections rate,Al Khor Hospital,11/1/2013 12:00:00 AM,False,="0",92
HMC Campaign - Best Care Always,Al Khor Hospital,CCO10 - Urinary catheter-associated symptomatic urinary tract infections rate,Al Khor Hospital,12/1/2013 12:00:00 AM,False,="0",88
HMC Campaign - Best Care Always,Al Khor Hospital,CCO10 - Urinary catheter-associated symptomatic urinary tract infections rate,Al Khor Hospital,1/1/2014 12:00:00 AM,False,="0",86
HMC Campaign - Best Care Always,Al Khor Hospital,GWO01 - Incidence (rate) of inpatient hospital-onset Clostridium Difficile Infection (CDI),Al Khor Hospital,10/1/2013 12:00:00 AM,False,="0",632
HMC Campaign - Best Care Always,Al Khor Hospital,GWO01 - Incidence (rate) of inpatient hospital-onset Clostridium Difficile Infection (CDI),Al Khor Hospital,11/1/2013 12:00:00 AM,False,="0",585
HMC Campaign - Best Care Always,Al Khor Hospital,GWO01 - Incidence (rate) of inpatient hospital-onset Clostridium Difficile Infection (CDI),Al Khor Hospital,12/1/2013 12:00:00 AM,False,1,636
HMC Campaign - Best Care Always,Al Khor Hospital,GWO01 - Incidence (rate) of inpatient hospital-onset Clostridium Difficile Infection (CDI),Al Khor Hospital,1/1/2014 12:00:00 AM,False,="0",640
HMC Campaign - Best Care Always,Al Khor Hospital,GWO04 - Days between Staph. aureus Bacteraemias,Al Khor Hospital,7/23/2012 12:00:00 AM,False,6.34785984E+17
HMC Campaign - Best Care Always,Al Khor Hospital,GWO05 - Urinary catheter-associated urinary tract infections rate,Al Khor Hospital,10/1/2013 12:00:00 AM,False,1,620
HMC Campaign - Best Care Always,Al Khor Hospital,GWO05 - Urinary catheter-associated urinary tract infections rate,Al Khor Hospital,11/1/2013 12:00:00 AM,False,2,741
HMC Campaign - Best Care Always,Al Khor Hospital,GWO05 - Urinary catheter-associated urinary tract infections rate,Al Khor Hospital,12/1/2013 12:00:00 AM,False,4,680
HMC Campaign - Best Care Always,Al Khor Hospital,GWO05 - Urinary catheter-associated urinary tract infections rate,Al Khor Hospital,1/1/2014 12:00:00 AM,False,1,536
HMC Campaign - Best Care Always,Al Khor Hospital,GWO07 - Pressure ulcer count,Al Khor Hospital,10/1/2013 12:00:00 AM,False,1
HMC Campaign - Best Care Always,Al Khor Hospital,GWO07 - Pressure ulcer count,Al Khor Hospital,11/1/2013 12:00:00 AM,False,="0"
HMC Campaign - Best Care Always,Al Khor Hospital,GWO07 - Pressure ulcer count,Al Khor Hospital,12/1/2013 12:00:00 AM,False,2
